text,label
"The government has announced a new policy regarding renewable energy subsidies starting next month.","real"
"A new study suggests that regular exercise can significantly improve mental health in adults.","real"
"Economic growth in the third quarter exceeded expectations due to strong consumer spending.","real"
"NASA's Mars rover has successfully collected its first rock sample for return to Earth.","real"
"The national park service is introducing new trails to promote outdoor activities.","real"
"Scientists have discovered a new species of deep-sea fish in the Mariana Trench.","real"
"Local libraries are expanding their digital collections to include more audiobooks.","real"
"The city council approved a plan to build more bike lanes in the downtown area.","real"
"A breakthrough in solar panel technology could double energy efficiency by 2025.","real"
"Health officials recommend getting an annual flu shot to stay protected this winter.","real"
"The stock market saw a significant increase today following the latest employment report.","real"
"New research shows that a Mediterranean diet can lower the risk of heart disease.","real"
"The city is hosting a cultural festival next weekend to celebrate local artists.","real"
"The local high school football team won the state championship for the first time.","real"
"Astronomers have identified a potentially habitable planet in a nearby star system.","real"
"The international space station will be visible from the ground this evening.","real"
"A new community garden has opened in the neighborhood to provide fresh produce.","real"
"The technology company announced a new smartphone with improved battery life.","real"
"Local businesses are reporting an increase in sales during the holiday season.","real"
"The state government is investing in new public transportation infrastructure.","real"
"Breaking: Scientists discover that eating chocolate makes you invisible!","fake"
"Local man claims his cat can speak fluent French and is running for mayor.","fake"
"Update: The moon is actually made of Swiss cheese, according to a recent blog post.","fake"
"Rumor: A secret underground city has been found beneath the Sahara Desert.","fake"
"Scientists confirm that gravity will be turned off for maintenance this Sunday.","fake"
"Alien spaceships spotted landing in the middle of Central Park this morning.","fake"
"A secret potion has been found that allows humans to breathe underwater indefinitely.","fake"
"The president of the world has decided to ban Mondays forever starting next week.","fake"
"New report: Drinking orange juice can grant you the power of flight for ten minutes.","fake"
"Historical discovery: Dinosaurs actually built the pyramids using giant cranes.","fake"
"Wait until you see what this celebrity did! You won't believe your eyes.","fake"
"The government is planning to replace all money with shiny pebbles by next year.","fake"
"A new study reveals that clouds are actually giant marshmallows in the sky.","fake"
"Local ghost says he is tired of haunting old houses and wants a modern apartment.","fake"
"Breaking news: A tree in the park has started growing gold coins instead of leaves.","fake"
"Scientists have invented a machine that can turn your dreams into movie files.","fake"
"The ocean is expected to turn pink by next Tuesday due to a rare coral event.","fake"
"A secret island has been found where time runs backward for everyone there.","fake"
"The sun will be replaced by a giant LED light bulb for energy savings next month.","fake"
"New discovery: Your shadow is actually a separate person following you around.","fake"
